id,name,description,user,followers,editable,collaborative,canonicalUrl,photo,updatedAt,venue
51a1330a498e9de813f1cf68,Divertido!!!,,"{'id': '56153142', 'firstName': 'Lore', 'lastName': 'R', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/56153142-NCB0S0ZL1H1SJUED.jpg'}}",{'count': 0},False,False,https://foursquare.com/loredur/list/divertido,,1456149765.0,4e7bf34f45dd6e4363fa50f6
520a9f1211d26231190da70c,peluquería,,"{'id': '59238719', 'firstName': 'Michael', 'lastName': 'G', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/4EFBUSAU0KLNXKKO.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/59238719/list/peluquer%C3%ADa,,1405715901.0,4e7bf34f45dd6e4363fa50f6
5393f33c498ed1e5c12a0191,tragos,,"{'id': '68807669', 'firstName': 'Yo', 'lastName': 'S', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/68807669_CyOhiLGo_YO_Lh7If37Emx7nmBOIEts4JP1bU2LQU6bbPisnrPSFQ5h1R0rvyC_0eYNmmG0Ef.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/68807669/list/tragos,,1466120559.0,4e7bf34f45dd6e4363fa50f6
5064fcf1498ef54a3eb81869,Beer,,"{'id': '35627549', 'firstName': 'Fidel', 'lastName': 'M', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/35627549-IQNRPSGI3GWQFGYW.jpg'}}",{'count': 0},False,False,https://foursquare.com/fidelmarinlol/list/beer,,1362371959.0,4e7bf34f45dd6e4363fa50f6
53c985cb498edadfe37b9a62,Música,,"{'id': '59238719', 'firstName': 'Michael', 'lastName': 'G', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/4EFBUSAU0KLNXKKO.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/59238719/list/m%C3%BAsica,,1405715984.0,4e7bf34f45dd6e4363fa50f6
50df05b2e4b0c48b57892160,Bares y antros,,"{'id': '43343759', 'firstName': 'Arturo', 'lastName': 'G', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/43343759_re6uFp1R_ZFBgU1yn00sPUn2CMQlI46mtGmxK6FhqQqKHA7MT-YM6ufOfdeXreYnq_4SF5L7C.jpg'}}",{'count': 0},False,False,https://foursquare.com/galvnruiz/list/bares-y-antros,,1407448292.0,4e7bf34f45dd6e4363fa50f6
55fca44c498e9f41d85b51ec,Pending,,"{'id': '26188128', 'firstName': 'Ulisezzz', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/26188128-PZGCNQNFWJMXFSTL.jpg'}}",{'count': 0},False,False,https://foursquare.com/ulisezzz/list/pending,,1560998111.0,4e7bf34f45dd6e4363fa50f6
53f2a2d8498e36cd9d3d2bfb,Cine,,"{'id': '52626903', 'firstName': 'Ramiro', 'lastName': 'E', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/U2JVGK4SKLQZ0UMG.jpg'}}",{'count': 0},False,False,https://foursquare.com/ramir_0/list/cine,,1455662541.0,4e7bf34f45dd6e4363fa50f6
56c7fb54498e11aef3fe8401,Entertainment,,"{'id': '7951533', 'firstName': 'Alejandra', 'lastName': 'Q', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/KCHJQWNEZH5KJN0I.jpg'}}",{'count': 0},False,False,https://foursquare.com/pisco07/list/entertainment,,1473887247.0,4e7bf34f45dd6e4363fa50f6
5388f312498e657cd7dff5c7,DF,,"{'id': '49721593', 'firstName': 'Miriam', 'lastName': 'V', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/T05VB30JI2SYZMX2.jpg'}}",{'count': 0},False,False,https://foursquare.com/miriamvrod/list/df,"{'id': '520a5ce98bbd7d98ff273f40', 'createdAt': 1376410857, 'prefix': 'https://fastly.4sqi.net/img/general/', 'suffix': '/33113862_AG_TV3-zbE0gpvhYfrHiby3uG6LbtjphaRkaJGr_YqQ.jpg', 'width': 3008, 'height': 2000, 'user': {'id': '33113862', 'firstName': 'Salón Pata Negra', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/33113862-X1NX4IWAIITYK4J3.png'}, 'type': 'venuePage', 'venue': {'id': '4bf04862a09076b0ccae29d4'}}, 'visibility': 'public'}",1403667467.0,4e7bf34f45dd6e4363fa50f6
59054232419a9e2ce9808b1a,Nocturno!,,"{'id': '81993882', 'firstName': 'Jose', 'lastName': 'V', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/81993882_9GXZAVVe_KCu81BwR0K03xw0rhVXu0kLCKmR7N6qlQrtGMv0ygYwv4aclW5FcGnJqCK3HVN61.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/81993882/list/nocturno,,1537650418.0,4e7bf34f45dd6e4363fa50f6
504fe04ce4b052774b5ba694,antros y bares del.centro,,"{'id': '37046710', 'firstName': 'Vladrakul', 'lastName': 'V', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/0S5DEF0ISNG5ULKR.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/37046710/list/antros-y-bares-delcentro,,1347412052.0,4e7bf34f45dd6e4363fa50f6
559f4d7d498e88f309ca3d3a,Bares,,"{'id': '133407799', 'firstName': '', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/blank_boy.png', 'default': True}}",{'count': 0},False,False,https://foursquare.com/user/133407799/list/bares,,1438991647.0,4e7bf34f45dd6e4363fa50f6
509fba30e4b047ee297e3fed,:),,"{'id': '26102685', 'firstName': 'Dana', 'lastName': 'D', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/26102685-EVW4PTO0EN4CFJ01.jpg'}}",{'count': 1},False,False,https://foursquare.com/danadelaos16/list/-1,,1397749808.0,4ce352eeb8df5481e2d4ad9b
5068c005e4b0c7c052b3f6e7,To do,,"{'id': '4044783', 'firstName': 'Paulina', 'lastName': 'J', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/4044783-C4XX4XSITM1MR35E.jpg'}}",{'count': 0},False,False,https://foursquare.com/paulinajasso/list/to-do,,1441720472.0,4ce352eeb8df5481e2d4ad9b
52bd042c498e63a582c5e166,Mis gusto es...,,"{'id': '71624513', 'firstName': 'Lorena', 'lastName': 'A', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/71624513-JERPSB3CR0INUACE.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/71624513/list/mis-gusto-es,,1413173027.0,4ce352eeb8df5481e2d4ad9b
586f7c4b349355502897cb14,Places to go to In Mexico City,,"{'id': '28353318', 'firstName': 'Foose', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/28353318-AOJIZA3LSXVF1KFF.jpg'}}",{'count': 0},False,False,https://foursquare.com/cpucrash0/list/places-to-go-to-in-mexico-city,,1511143461.0,50c15eeae4b05f96d68cf9a8
547ffd1a498e80a9efb10a1d,Por hacer,,"{'id': '30818218', 'firstName': 'Christian', 'lastName': 'C', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/30818218-ORZHAPOLHDZR0OED.jpg'}}",{'count': 0},False,False,https://foursquare.com/kcsf_alejo86/list/por-hacer,"{'id': '514cc262e4b0aa45953f5fa9', 'createdAt': 1363984994, 'prefix': 'https://fastly.4sqi.net/img/general/', 'suffix': '/17247135_xqZwKx6GtMvV_xP1MNKNrS7lxtgQYpXbd5d0seW0Eq8.jpg', 'width': 717, 'height': 959, 'user': {'id': '17247135', 'firstName': 'Gaby', 'lastName': 'C', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/17247135_525lMaYi_PLz3uGwfxDSFTdktTywupPd0oSfkkSxsbegfeB_xYP8-4uun6UD9iPsTKa2sFd8Z.jpg'}}, 'visibility': 'public'}",1417792809.0,4ba59879f964a520311539e3
